,ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType
692,174,active,plausible,The panelist congratulated the winner.,The panelist congratulated the winner.,AAN
693,174,active,implausible,The winner congratulated the panelist.,The panelist congratulated the winner.,AAN
694,174,passive,plausible,The winner was congratulated by the panelist.,The panelist congratulated the winner.,AAN
695,174,passive,implausible,The panelist was congratulated by the winner.,The panelist congratulated the winner.,AAN
696,175,active,plausible,The liar emulated the victor.,The liar emulated the victor.,AAN
697,175,active,implausible,The victor emulated the liar.,The liar emulated the victor.,AAN
698,175,passive,plausible,The victor was emulated by the liar.,The liar emulated the victor.,AAN
699,175,passive,implausible,The liar was emulated by the victor.,The liar emulated the victor.,AAN
700,176,active,plausible,The deceiver imitated the conqueror.,The deceiver imitated the conqueror.,AAN
701,176,active,implausible,The conqueror imitated the deceiver.,The deceiver imitated the conqueror.,AAN
702,176,passive,plausible,The conqueror was imitated by the deceiver.,The deceiver imitated the conqueror.,AAN
703,176,passive,implausible,The deceiver was imitated by the conqueror.,The deceiver imitated the conqueror.,AAN
704,177,active,plausible,The environmentalist cautioned the tobacconist.,The environmentalist cautioned the tobacconist.,AAN
705,177,active,implausible,The tobacconist cautioned the environmentalist.,The environmentalist cautioned the tobacconist.,AAN
706,177,passive,plausible,The tobacconist was cautioned by the environmentalist.,The environmentalist cautioned the tobacconist.,AAN
707,177,passive,implausible,The environmentalist was cautioned by the tobacconist.,The environmentalist cautioned the tobacconist.,AAN
708,178,active,plausible,The ecologist warned the cigar-maker.,The ecologist warned the cigar-maker.,AAN
709,178,active,implausible,The cigar-maker warned the ecologist.,The ecologist warned the cigar-maker.,AAN
710,178,passive,plausible,The cigar-maker was warned by the ecologist.,The ecologist warned the cigar-maker.,AAN
711,178,passive,implausible,The ecologist was warned by the cigar-maker.,The ecologist warned the cigar-maker.,AAN
712,179,active,plausible,The peasant idolized the ancestors.,The peasant idolized his ancestors.,AAN
713,179,active,implausible,The ancestors idolized the peasant.,The peasant idolized his ancestors.,AAN
714,179,passive,plausible,The ancestors were idolized by the peasant.,The peasant idolized his ancestors.,AAN
715,179,passive,implausible,The peasant were idolized by the ancestors.,The peasant idolized his ancestors.,AAN
716,180,active,plausible,The serf worshipped the forefathers.,The serf worshipped his forefathers.,AAN
717,180,active,implausible,The forefathers worshipped the serf.,The serf worshipped his forefathers.,AAN
718,180,passive,plausible,The forefathers were worshipped by the serf.,The serf worshipped his forefathers.,AAN
719,180,passive,implausible,The serf were worshipped by the forefathers.,The serf worshipped his forefathers.,AAN
720,181,active,plausible,The alcoholic hassled the guest.,The alcoholic hassled the guest.,AAN
721,181,active,implausible,The guest hassled the alcoholic.,The alcoholic hassled the guest.,AAN
722,181,passive,plausible,The guest was hassled by the alcoholic.,The alcoholic hassled the guest.,AAN
723,181,passive,implausible,The alcoholic was hassled by the guest.,The alcoholic hassled the guest.,AAN
724,182,active,plausible,The drunk bothered the visitor.,The drunk bothered the visitor.,AAN
725,182,active,implausible,The visitor bothered the drunk.,The drunk bothered the visitor.,AAN
726,182,passive,plausible,The visitor was bothered by the drunk.,The drunk bothered the visitor.,AAN
727,182,passive,implausible,The drunk was bothered by the visitor.,The drunk bothered the visitor.,AAN
728,183,active,plausible,The commentator vexed the athlete.,The commentator vexed the athlete.,AAR
729,183,active,plausible,The athlete vexed the commentator.,The commentator vexed the athlete.,AAR
730,183,passive,plausible,The athlete was vexed by the commentator.,The commentator vexed the athlete.,AAR
731,183,passive,plausible,The commentator was vexed by the athlete.,The commentator vexed the athlete.,AAR
732,184,active,plausible,The sportscaster peeved the jock.,The sportscaster peeved the jock.,AAR
733,184,active,plausible,The jock peeved the sportscaster.,The sportscaster peeved the jock.,AAR
734,184,passive,plausible,The jock was peeved by the sportscaster.,The sportscaster peeved the jock.,AAR
735,184,passive,plausible,The sportscaster was peeved by the jock.,The sportscaster peeved the jock.,AAR
736,185,active,plausible,The preacher hugged the churchgoer.,The preacher hugged the churchgoer.,AAR
737,185,active,plausible,The churchgoer hugged the preacher.,The preacher hugged the churchgoer.,AAR
738,185,passive,plausible,The churchgoer was hugged by the preacher.,The preacher hugged the churchgoer.,AAR
739,185,passive,plausible,The preacher was hugged by the churchgoer.,The preacher hugged the churchgoer.,AAR
740,186,active,plausible,The pastor embraced the parishioner.,The pastor embraced the parishioner.,AAR
741,186,active,plausible,The parishioner embraced the pastor.,The pastor embraced the parishioner.,AAR
742,186,passive,plausible,The parishioner was embraced by the pastor.,The pastor embraced the parishioner.,AAR
743,186,passive,plausible,The pastor was embraced by the parishioner.,The pastor embraced the parishioner.,AAR
744,187,active,plausible,The maniac mocked the clown.,The maniac mocked the clown.,AAR
745,187,active,plausible,The clown mocked the maniac.,The maniac mocked the clown.,AAR
746,187,passive,plausible,The clown was mocked by the maniac.,The maniac mocked the clown.,AAR
747,187,passive,plausible,The maniac was mocked by the clown.,The maniac mocked the clown.,AAR
748,188,active,plausible,The lunatic ridiculed the jester.,The lunatic ridiculed the jester.,AAR
749,188,active,plausible,The jester ridiculed the lunatic.,The lunatic ridiculed the jester.,AAR
750,188,passive,plausible,The jester was ridiculed by the lunatic.,The lunatic ridiculed the jester.,AAR
751,188,passive,plausible,The lunatic was ridiculed by the jester.,The lunatic ridiculed the jester.,AAR
752,189,active,plausible,The archivist contacted the inventor.,The archivist contacted the inventor.,AAR
753,189,active,plausible,The inventor contacted the archivist.,The archivist contacted the inventor.,AAR
754,189,passive,plausible,The inventor was contacted by the archivist.,The archivist contacted the inventor.,AAR
755,189,passive,plausible,The archivist was contacted by the inventor.,The archivist contacted the inventor.,AAR
756,190,active,plausible,The historian approached the innovator.,The historian approached the innovator.,AAR
757,190,active,plausible,The innovator approached the historian.,The historian approached the innovator.,AAR
758,190,passive,plausible,The innovator was approached by the historian.,The historian approached the innovator.,AAR
759,190,passive,plausible,The historian was approached by the innovator.,The historian approached the innovator.,AAR
760,191,active,plausible,The janitor called the landscaper.,The janitor called the landscaper.,AAR
761,191,active,plausible,The landscaper called the janitor.,The janitor called the landscaper.,AAR
762,191,passive,plausible,The landscaper was called by the janitor.,The janitor called the landscaper.,AAR
763,191,passive,plausible,The janitor was called by the landscaper.,The janitor called the landscaper.,AAR
764,192,active,plausible,The custodian phoned the gardener.,The custodian phoned the gardener.,AAR
765,192,active,plausible,The gardener phoned the custodian.,The custodian phoned the gardener.,AAR
766,192,passive,plausible,The gardener was phoned by the custodian.,The custodian phoned the gardener.,AAR
767,192,passive,plausible,The custodian was phoned by the gardener.,The custodian phoned the gardener.,AAR
768,193,active,plausible,The drummer annoyed the weatherman.,The drummer annoyed the weatherman.,AAR
769,193,active,plausible,The weatherman annoyed the drummer.,The drummer annoyed the weatherman.,AAR
770,193,passive,plausible,The weatherman was annoyed by the drummer.,The drummer annoyed the weatherman.,AAR
771,193,passive,plausible,The drummer was annoyed by the weatherman.,The drummer annoyed the weatherman.,AAR
772,194,active,plausible,The percussionist displeased the meteorologist.,The percussionist displeased the meteorologist.,AAR
773,194,active,plausible,The meteorologist displeased the percussionist.,The percussionist displeased the meteorologist.,AAR
774,194,passive,plausible,The meteorologist was displeased by the percussionist.,The percussionist displeased the meteorologist.,AAR
775,194,passive,plausible,The percussionist was displeased by the meteorologist.,The percussionist displeased the meteorologist.,AAR
776,195,active,plausible,The go-between belittled the defendant.,The go-between belittled the defendant.,AAR
777,195,active,plausible,The defendant belittled the go-between.,The go-between belittled the defendant.,AAR
778,195,passive,plausible,The defendant was belittled by the go-between.,The go-between belittled the defendant.,AAR
779,195,passive,plausible,The go-between was belittled by the defendant.,The go-between belittled the defendant.,AAR
780,196,active,plausible,The intermediary deprecated the felon.,The intermediary deprecated the felon.,AAR
781,196,active,plausible,The felon deprecated the intermediary.,The intermediary deprecated the felon.,AAR
782,196,passive,plausible,The felon was deprecated by the intermediary.,The intermediary deprecated the felon.,AAR
783,196,passive,plausible,The intermediary was deprecated by the felon.,The intermediary deprecated the felon.,AAR
784,197,active,plausible,The valet entertained the envoy.,The valet entertained the envoy.,AAR
785,197,active,plausible,The envoy entertained the valet.,The valet entertained the envoy.,AAR
786,197,passive,plausible,The envoy was entertained by the valet.,The valet entertained the envoy.,AAR
787,197,passive,plausible,The valet was entertained by the envoy.,The valet entertained the envoy.,AAR
788,198,active,plausible,The manservant amused the emissary.,The manservant amused the emissary.,AAR
789,198,active,plausible,The emissary amused the manservant.,The manservant amused the emissary.,AAR
790,198,passive,plausible,The emissary was amused by the manservant.,The manservant amused the emissary.,AAR
791,198,passive,plausible,The manservant was amused by the emissary.,The manservant amused the emissary.,AAR
792,199,active,plausible,The acrobat pushed the stranger.,The acrobat pushed the stranger.,AAR
793,199,active,plausible,The stranger pushed the acrobat.,The acrobat pushed the stranger.,AAR
794,199,passive,plausible,The stranger was pushed by the acrobat.,The acrobat pushed the stranger.,AAR
795,199,passive,plausible,The acrobat was pushed by the stranger.,The acrobat pushed the stranger.,AAR
796,200,active,plausible,The gymnast shoved the outsider.,The gymnast shoved the outsider.,AAR
797,200,active,plausible,The outsider shoved the gymnast.,The gymnast shoved the outsider.,AAR
798,200,passive,plausible,The outsider was shoved by the gymnast.,The gymnast shoved the outsider.,AAR
799,200,passive,plausible,The gymnast was shoved by the outsider.,The gymnast shoved the outsider.,AAR
800,201,active,plausible,The benefactor calmed the architect.,The benefactor calmed the architect.,AAR
801,201,active,plausible,The architect calmed the benefactor.,The benefactor calmed the architect.,AAR
802,201,passive,plausible,The architect was calmed by the benefactor.,The benefactor calmed the architect.,AAR
803,201,passive,plausible,The benefactor was calmed by the architect.,The benefactor calmed the architect.,AAR
804,202,active,plausible,The patron soothed the draftsman.,The patron soothed the draftsman.,AAR
805,202,active,plausible,The draftsman soothed the patron.,The patron soothed the draftsman.,AAR
806,202,passive,plausible,The draftsman was soothed by the patron.,The patron soothed the draftsman.,AAR
807,202,passive,plausible,The patron was soothed by the draftsman.,The patron soothed the draftsman.,AAR
808,203,active,plausible,The therapist lauded the hairdresser.,The therapist lauded the hairdresser.,AAR
809,203,active,plausible,The hairdresser lauded the therapist.,The therapist lauded the hairdresser.,AAR
810,203,passive,plausible,The hairdresser was lauded by the therapist.,The therapist lauded the hairdresser.,AAR
811,203,passive,plausible,The therapist was lauded by the hairdresser.,The therapist lauded the hairdresser.,AAR
812,204,active,plausible,The psychologist extolled the hairstylist.,The psychologist extolled the hairstylist.,AAR
813,204,active,plausible,The hairstylist extolled the psychologist.,The psychologist extolled the hairstylist.,AAR
814,204,passive,plausible,The hairstylist was extolled by the psychologist.,The psychologist extolled the hairstylist.,AAR
815,204,passive,plausible,The psychologist was extolled by the hairstylist.,The psychologist extolled the hairstylist.,AAR
816,205,active,plausible,The nobleman married the baroness.,The nobleman married the baroness.,AAR
817,205,active,plausible,The baroness married the nobleman.,The nobleman married the baroness.,AAR
818,205,passive,plausible,The baroness was married by the nobleman.,The nobleman married the baroness.,AAR
819,205,passive,plausible,The nobleman was married by the baroness.,The nobleman married the baroness.,AAR
820,206,active,plausible,The aristocrat wed the countess.,The aristocrat wed the countess.,AAR
821,206,active,plausible,The countess wed the aristocrat.,The aristocrat wed the countess.,AAR
822,206,passive,plausible,The countess was wed by the aristocrat.,The aristocrat wed the countess.,AAR
823,206,passive,plausible,The aristocrat was wed by the countess.,The aristocrat wed the countess.,AAR
824,207,active,plausible,The actuary assuaged the creditor.,The actuary assuaged the creditor.,AAR
825,207,active,plausible,The creditor assuaged the actuary.,The actuary assuaged the creditor.,AAR
826,207,passive,plausible,The creditor was assuaged by the actuary.,The actuary assuaged the creditor.,AAR
827,207,passive,plausible,The actuary was assuaged by the creditor.,The actuary assuaged the creditor.,AAR
828,208,active,plausible,The analyst relieved the investor.,The analyst relieved the investor.,AAR
829,208,active,plausible,The investor relieved the analyst.,The analyst relieved the investor.,AAR
830,208,passive,plausible,The investor was relieved by the analyst.,The analyst relieved the investor.,AAR
831,208,passive,plausible,The analyst was relieved by the investor.,The analyst relieved the investor.,AAR
832,209,active,plausible,The sailor frightened the psychic.,The sailor frightened the psychic.,AAR
833,209,active,plausible,The psychic frightened the sailor.,The sailor frightened the psychic.,AAR
834,209,passive,plausible,The psychic was frightened by the sailor.,The sailor frightened the psychic.,AAR
835,209,passive,plausible,The sailor was frightened by the psychic.,The sailor frightened the psychic.,AAR
836,210,active,plausible,The mariner scared the fortune-teller.,The mariner scared the fortune-teller.,AAR
837,210,active,plausible,The fortune-teller scared the mariner.,The mariner scared the fortune-teller.,AAR
838,210,passive,plausible,The fortune-teller was scared by the mariner.,The mariner scared the fortune-teller.,AAR
839,210,passive,plausible,The mariner was scared by the fortune-teller.,The mariner scared the fortune-teller.,AAR
840,211,active,plausible,The assistant flattered the auditor.,The assistant flattered the auditor.,AAR
841,211,active,plausible,The auditor flattered the assistant.,The assistant flattered the auditor.,AAR
842,211,passive,plausible,The auditor was flattered by the assistant.,The assistant flattered the auditor.,AAR
843,211,passive,plausible,The assistant was flattered by the auditor.,The assistant flattered the auditor.,AAR
844,212,active,plausible,The helper complimented the appraiser.,The helper complimented the appraiser.,AAR
845,212,active,plausible,The appraiser complimented the helper.,The helper complimented the appraiser.,AAR
846,212,passive,plausible,The appraiser was complimented by the helper.,The helper complimented the appraiser.,AAR
847,212,passive,plausible,The helper was complimented by the appraiser.,The helper complimented the appraiser.,AAR
848,213,active,plausible,The immigrant believed the trooper.,The immigrant believed the trooper.,AAR
849,213,active,plausible,The trooper believed the immigrant.,The immigrant believed the trooper.,AAR
850,213,passive,plausible,The trooper was believed by the immigrant.,The immigrant believed the trooper.,AAR
851,213,passive,plausible,The immigrant was believed by the trooper.,The immigrant believed the trooper.,AAR
852,214,active,plausible,The foreigner trusted the patrolman.,The foreigner trusted the patrolman.,AAR
853,214,active,plausible,The patrolman trusted the foreigner.,The foreigner trusted the patrolman.,AAR
854,214,passive,plausible,The patrolman was trusted by the foreigner.,The foreigner trusted the patrolman.,AAR
855,214,passive,plausible,The foreigner was trusted by the patrolman.,The foreigner trusted the patrolman.,AAR
856,215,active,plausible,The mapmaker affronted the farmer.,The mapmaker affronted the farmer.,AAR
857,215,active,plausible,The farmer affronted the mapmaker.,The mapmaker affronted the farmer.,AAR
858,215,passive,plausible,The farmer was affronted by the mapmaker.,The mapmaker affronted the farmer.,AAR
859,215,passive,plausible,The mapmaker was affronted by the farmer.,The mapmaker affronted the farmer.,AAR
860,216,active,plausible,The cartographer insulted the rancher.,The cartographer insulted the rancher.,AAR
861,216,active,plausible,The rancher insulted the cartographer.,The cartographer insulted the rancher.,AAR
862,216,passive,plausible,The rancher was insulted by the cartographer.,The cartographer insulted the rancher.,AAR
863,216,passive,plausible,The cartographer was insulted by the rancher.,The cartographer insulted the rancher.,AAR
864,217,active,plausible,The poet awed the entertainer.,The poet awed the entertainer.,AAR
865,217,active,plausible,The entertainer awed the poet.,The poet awed the entertainer.,AAR
866,217,passive,plausible,The entertainer was awed by the poet.,The poet awed the entertainer.,AAR
867,217,passive,plausible,The poet was awed by the entertainer.,The poet awed the entertainer.,AAR
868,218,active,plausible,The lyricist dazzled the performer.,The lyricist dazzled the performer.,AAR
869,218,active,plausible,The performer dazzled the lyricist.,The lyricist dazzled the performer.,AAR
870,218,passive,plausible,The performer was dazzled by the lyricist.,The lyricist dazzled the performer.,AAR
871,218,passive,plausible,The lyricist was dazzled by the performer.,The lyricist dazzled the performer.,AAR
872,219,active,plausible,The peddler tested the manager.,The peddler tested the manager.,AAR
873,219,active,plausible,The manager tested the peddler.,The peddler tested the manager.,AAR
874,219,passive,plausible,The manager was tested by the peddler.,The peddler tested the manager.,AAR
875,219,passive,plausible,The peddler was tested by the manager.,The peddler tested the manager.,AAR
876,220,active,plausible,The traveling salesman challenged the executive.,The traveling salesman challenged the executive.,AAR
877,220,active,plausible,The executive challenged the traveling salesman.,The traveling salesman challenged the executive.,AAR
878,220,passive,plausible,The executive was challenged by the traveling salesman.,The traveling salesman challenged the executive.,AAR
879,220,passive,plausible,The traveling salesman was challenged by the executive.,The traveling salesman challenged the executive.,AAR
880,221,active,plausible,The musician admired the diva.,The musician admired the diva.,AAR
881,221,active,plausible,The diva admired the musician.,The musician admired the diva.,AAR
882,221,passive,plausible,The diva was admired by the musician.,The musician admired the diva.,AAR
883,221,passive,plausible,The musician was admired by the diva.,The musician admired the diva.,AAR
884,222,active,plausible,The instrumentalist adored the prima donna.,The instrumentalist adored the prima donna.,AAR
885,222,active,plausible,The prima donna adored the instrumentalist.,The instrumentalist adored the prima donna.,AAR
886,222,passive,plausible,The prima donna was adored by the instrumentalist.,The instrumentalist adored the prima donna.,AAR
887,222,passive,plausible,The instrumentalist was adored by the prima donna.,The instrumentalist adored the prima donna.,AAR
888,223,active,plausible,The general welcomed the hero.,The general welcomed the hero.,AAR
889,223,active,plausible,The hero welcomed the general.,The general welcomed the hero.,AAR
890,223,passive,plausible,The hero was welcomed by the general.,The general welcomed the hero.,AAR
891,223,passive,plausible,The general was welcomed by the hero.,The general welcomed the hero.,AAR
892,224,active,plausible,The commander greeted the champion.,The commander greeted the champion.,AAR
893,224,active,plausible,The champion greeted the commander.,The commander greeted the champion.,AAR
894,224,passive,plausible,The champion was greeted by the commander.,The commander greeted the champion.,AAR
895,224,passive,plausible,The commander was greeted by the champion.,The commander greeted the champion.,AAR
896,225,active,plausible,The cobbler disdained the stonecutter.,The cobbler disdained the stonecutter.,AAR
897,225,active,plausible,The stonecutter disdained the cobbler.,The cobbler disdained the stonecutter.,AAR
898,225,passive,plausible,The stonecutter was disdained by the cobbler.,The cobbler disdained the stonecutter.,AAR
899,225,passive,plausible,The cobbler was disdained by the stonecutter.,The cobbler disdained the stonecutter.,AAR
900,226,active,plausible,The shoemaker scorned the mason.,The shoemaker scorned the mason.,AAR
901,226,active,plausible,The mason scorned the shoemaker.,The shoemaker scorned the mason.,AAR
902,226,passive,plausible,The mason was scorned by the shoemaker.,The shoemaker scorned the mason.,AAR
903,226,passive,plausible,The shoemaker was scorned by the mason.,The shoemaker scorned the mason.,AAR
904,227,active,plausible,The postman noticed the chaplain.,The postman noticed the chaplain.,AAR
905,227,active,plausible,The chaplain noticed the postman.,The postman noticed the chaplain.,AAR
906,227,passive,plausible,The chaplain was noticed by the postman.,The postman noticed the chaplain.,AAR
907,227,passive,plausible,The postman was noticed by the chaplain.,The postman noticed the chaplain.,AAR
908,228,active,plausible,The mailman saw the minister.,The mailman saw the minister.,AAR
909,228,active,plausible,The minister saw the mailman.,The mailman saw the minister.,AAR
910,228,passive,plausible,The minister was seen by the mailman.,The mailman saw the minister.,AAR
911,228,passive,plausible,The mailman was seen by the minister.,The mailman saw the minister.,AAR
912,229,active,plausible,The composer begrudged the playwright.,The composer begrudged the playwright.,AAR
913,229,active,plausible,The playwright begrudged the composer.,The composer begrudged the playwright.,AAR
914,229,passive,plausible,The playwright was begrudged by the composer.,The composer begrudged the playwright.,AAR
915,229,passive,plausible,The composer was begrudged by the playwright.,The composer begrudged the playwright.,AAR
916,230,active,plausible,The songwriter envied the dramatist.,The songwriter envied the dramatist.,AAR
917,230,active,plausible,The dramatist envied the songwriter.,The songwriter envied the dramatist.,AAR
918,230,passive,plausible,The dramatist was envied by the songwriter.,The songwriter envied the dramatist.,AAR
919,230,passive,plausible,The songwriter was envied by the dramatist.,The songwriter envied the dramatist.,AAR
920,231,active,plausible,The dictator angered the residents.,The dictator angered the residents.,AAR
921,231,active,plausible,The residents angered the dictator.,The dictator angered the residents.,AAR
922,231,passive,plausible,The residents were angered by the dictator.,The dictator angered the residents.,AAR
923,231,passive,plausible,The dictator were angered by the residents.,The dictator angered the residents.,AAR
924,232,active,plausible,The despot enraged the townspeople.,The despot enraged the townspeople.,AAR
925,232,active,plausible,The townspeople enraged the despot.,The despot enraged the townspeople.,AAR
926,232,passive,plausible,The townspeople were enraged by the despot.,The despot enraged the townspeople.,AAR
927,232,passive,plausible,The despot were enraged by the townspeople.,The despot enraged the townspeople.,AAR
928,233,active,plausible,The missionary baffled the oracle.,The missionary baffled the oracle.,AAR
929,233,active,plausible,The oracle baffled the missionary.,The missionary baffled the oracle.,AAR
930,233,passive,plausible,The oracle was baffled by the missionary.,The missionary baffled the oracle.,AAR
931,233,passive,plausible,The missionary was baffled by the oracle.,The missionary baffled the oracle.,AAR
932,234,active,plausible,The evangelist mystified the soothsayer.,The evangelist mystified the soothsayer.,AAR
933,234,active,plausible,The soothsayer mystified the evangelist.,The evangelist mystified the soothsayer.,AAR
934,234,passive,plausible,The soothsayer was mystified by the evangelist.,The evangelist mystified the soothsayer.,AAR
935,234,passive,plausible,The evangelist was mystified by the soothsayer.,The evangelist mystified the soothsayer.,AAR
936,235,active,plausible,The trespasser choked the fighter.,The trespasser choked the fighter.,AAR
937,235,active,plausible,The fighter choked the trespasser.,The trespasser choked the fighter.,AAR
938,235,passive,plausible,The fighter was choked by the trespasser.,The trespasser choked the fighter.,AAR
939,235,passive,plausible,The trespasser was choked by the fighter.,The trespasser choked the fighter.,AAR
940,236,active,plausible,The encroacher strangled the warrior.,The encroacher strangled the warrior.,AAR
941,236,active,plausible,The warrior strangled the encroacher.,The encroacher strangled the warrior.,AAR
942,236,passive,plausible,The warrior was strangled by the encroacher.,The encroacher strangled the warrior.,AAR
943,236,passive,plausible,The encroacher was strangled by the warrior.,The encroacher strangled the warrior.,AAR
944,237,active,plausible,The broker introduced the donor.,The broker introduced the donor.,AAR
945,237,active,plausible,The donor introduced the broker.,The broker introduced the donor.,AAR
946,237,passive,plausible,The donor was introduced by the broker.,The broker introduced the donor.,AAR
947,237,passive,plausible,The broker was introduced by the donor.,The broker introduced the donor.,AAR
948,238,active,plausible,The dealer presented the sponsor.,The dealer presented the sponsor.,AAR
949,238,active,plausible,The sponsor presented the dealer.,The dealer presented the sponsor.,AAR
950,238,passive,plausible,The sponsor was presented by the dealer.,The dealer presented the sponsor.,AAR
951,238,passive,plausible,The dealer was presented by the sponsor.,The dealer presented the sponsor.,AAR
952,239,active,plausible,The shrink commended the dean.,The shrink commended the dean.,AAR
953,239,active,plausible,The dean commended the shrink.,The shrink commended the dean.,AAR
954,239,passive,plausible,The dean was commended by the shrink.,The shrink commended the dean.,AAR
955,239,passive,plausible,The shrink was commended by the dean.,The shrink commended the dean.,AAR
956,240,active,plausible,The psychiatrist applauded the provost.,The psychiatrist applauded the provost.,AAR
957,240,active,plausible,The provost applauded the psychiatrist.,The psychiatrist applauded the provost.,AAR
958,240,passive,plausible,The provost was applauded by the psychiatrist.,The psychiatrist applauded the provost.,AAR
959,240,passive,plausible,The psychiatrist was applauded by the provost.,The psychiatrist applauded the provost.,AAR
960,241,active,plausible,The refugee provoked the homeless person.,The refugee provoked the homeless person.,AAR
961,241,active,plausible,The homeless person provoked the refugee.,The refugee provoked the homeless person.,AAR
962,241,passive,plausible,The homeless person was provoked by the refugee.,The refugee provoked the homeless person.,AAR
963,241,passive,plausible,The refugee was provoked by the homeless person.,The refugee provoked the homeless person.,AAR
964,242,active,plausible,The asylum seeker goaded the vagrant.,The asylum seeker goaded the vagrant.,AAR
965,242,active,plausible,The vagrant goaded the asylum seeker.,The asylum seeker goaded the vagrant.,AAR
966,242,passive,plausible,The vagrant was goaded by the asylum seeker.,The asylum seeker goaded the vagrant.,AAR
967,242,passive,plausible,The asylum seeker was goaded by the vagrant.,The asylum seeker goaded the vagrant.,AAR
968,243,active,plausible,The interpreter swindled the messenger.,The interpreter swindled the messenger.,AAR
969,243,active,plausible,The messenger swindled the interpreter.,The interpreter swindled the messenger.,AAR
970,243,passive,plausible,The messenger was swindled by the interpreter.,The interpreter swindled the messenger.,AAR
971,243,passive,plausible,The interpreter was swindled by the messenger.,The interpreter swindled the messenger.,AAR
972,244,active,plausible,The translator deceived the courier.,The translator deceived the courier.,AAR
973,244,active,plausible,The courier deceived the translator.,The translator deceived the courier.,AAR
974,244,passive,plausible,The courier was deceived by the translator.,The translator deceived the courier.,AAR
975,244,passive,plausible,The translator was deceived by the courier.,The translator deceived the courier.,AAR
976,245,active,plausible,The gangster hated the governor.,The gangster hated the governor.,AAR
977,245,active,plausible,The governor hated the gangster.,The gangster hated the governor.,AAR
978,245,passive,plausible,The governor was hated by the gangster.,The gangster hated the governor.,AAR
979,245,passive,plausible,The gangster was hated by the governor.,The gangster hated the governor.,AAR
980,246,active,plausible,The hoodlum abhorred the chancellor.,The hoodlum abhorred the chancellor.,AAR
981,246,active,plausible,The chancellor abhorred the hoodlum.,The hoodlum abhorred the chancellor.,AAR
982,246,passive,plausible,The chancellor was abhorred by the hoodlum.,The hoodlum abhorred the chancellor.,AAR
983,246,passive,plausible,The hoodlum was abhorred by the chancellor.,The hoodlum abhorred the chancellor.,AAR
984,247,active,plausible,The planner convinced the customer.,The planner convinced the customer.,AAR
985,247,active,plausible,The customer convinced the planner.,The planner convinced the customer.,AAR
986,247,passive,plausible,The customer was convinced by the planner.,The planner convinced the customer.,AAR
987,247,passive,plausible,The planner was convinced by the customer.,The planner convinced the customer.,AAR
988,248,active,plausible,The organizer persuaded the buyer.,The organizer persuaded the buyer.,AAR
989,248,active,plausible,The buyer persuaded the organizer.,The organizer persuaded the buyer.,AAR
990,248,passive,plausible,The buyer was persuaded by the organizer.,The organizer persuaded the buyer.,AAR
991,248,passive,plausible,The organizer was persuaded by the buyer.,The organizer persuaded the buyer.,AAR
992,249,active,plausible,The wizard protected the gnome.,The wizard protected the gnome.,AAR
993,249,active,plausible,The gnome protected the wizard.,The wizard protected the gnome.,AAR
994,249,passive,plausible,The gnome was protected by the wizard.,The wizard protected the gnome.,AAR
995,249,passive,plausible,The wizard was protected by the gnome.,The wizard protected the gnome.,AAR
996,250,active,plausible,The sorcerer defended the dwarf.,The sorcerer defended the dwarf.,AAR
997,250,active,plausible,The dwarf defended the sorcerer.,The sorcerer defended the dwarf.,AAR
998,250,passive,plausible,The dwarf was defended by the sorcerer.,The sorcerer defended the dwarf.,AAR
999,250,passive,plausible,The sorcerer was defended by the dwarf.,The sorcerer defended the dwarf.,AAR
1000,251,active,plausible,The runner encountered the co-worker.,The runner bumped into the co-worker.,AAR
1001,251,active,plausible,The co-worker encountered the runner.,The runner bumped into the co-worker.,AAR
1002,251,passive,plausible,The co-worker was encountered by the runner.,The runner bumped into the co-worker.,AAR
1003,251,passive,plausible,The runner was encountered by the co-worker.,The runner bumped into the co-worker.,AAR
1004,252,active,plausible,The jogger met the colleague.,The jogger ran into the colleague.,AAR
1005,252,active,plausible,The colleague met the jogger.,The jogger ran into the colleague.,AAR
1006,252,passive,plausible,The colleague was met by the jogger.,The jogger ran into the colleague.,AAR
1007,252,passive,plausible,The jogger was met by the colleague.,The jogger ran into the colleague.,AAR
1008,253,active,plausible,The student befuddled the professor.,The student befuddled the professor.,AAR
1009,253,active,plausible,The professor befuddled the student.,The student befuddled the professor.,AAR
1010,253,passive,plausible,The professor was befuddled by the student.,The student befuddled the professor.,AAR
1011,253,passive,plausible,The student was befuddled by the professor.,The student befuddled the professor.,AAR
1012,254,active,plausible,The scholar confused the lecturer.,The scholar confused the lecturer.,AAR
1013,254,active,plausible,The lecturer confused the scholar.,The scholar confused the lecturer.,AAR
1014,254,passive,plausible,The lecturer was confused by the scholar.,The scholar confused the lecturer.,AAR
1015,254,passive,plausible,The scholar was confused by the lecturer.,The scholar confused the lecturer.,AAR
1016,255,active,plausible,The invader spotted the sentry.,The invader spotted the sentry.,AAR
1017,255,active,plausible,The sentry spotted the invader.,The invader spotted the sentry.,AAR
1018,255,passive,plausible,The sentry was spotted by the invader.,The invader spotted the sentry.,AAR
1019,255,passive,plausible,The invader was spotted by the sentry.,The invader spotted the sentry.,AAR
1020,256,active,plausible,The intruder sighted the watchman.,The intruder sighted the watchman.,AAR
