ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType,sentence
300,passive,implausible,The schoolgirl was borrowed by the key.,The schoolgirl borrowed the key.,AI,11.47225215
301,passive,plausible,The poem was recited by the bookworm.,The bookworm recited the poem.,AI,11.35051558
301,passive,implausible,The bookworm was recited by the poem.,The bookworm recited the poem.,AI,11.35051558
302,passive,plausible,The battery was recharged by the diver.,The diver recharged the battery.,AI,11.6026424
302,passive,implausible,The diver was recharged by the battery.,The diver recharged the battery.,AI,11.6026424
303,passive,plausible,The game was won by the poker player.,The poker player won the game.,AI,11.84385215
303,passive,implausible,The poker player was won by the game.,The poker player won the game.,AI,11.84385215
304,passive,plausible,The apartment was redecorated by the copycat.,The copycat redecorated the apartment.,AI,10.91386421
304,passive,implausible,The copycat was redecorated by the apartment.,The copycat redecorated the apartment.,AI,10.91386421
305,passive,plausible,The bottle was uncorked by the winemaker.,The winemaker uncorked the bottle.,AI,11.05668903
305,passive,implausible,The winemaker was uncorked by the bottle.,The winemaker uncorked the bottle.,AI,11.05668903
306,passive,plausible,The clothes were folded by the laundress.,The laundress folded the clothes.,AI,11.07526681
306,passive,implausible,The laundress were folded by the clothes.,The laundress folded the clothes.,AI,11.07526681
307,passive,plausible,The passport was photocopied by the travel-agent.,The travel-agent photocopied the passport.,AI,11.20453097
307,passive,implausible,The travel-agent was photocopied by the passport.,The travel-agent photocopied the passport.,AI,11.20453097
308,passive,plausible,The complaint was filed by the exterminator.,The exterminator filed the complaint.,AI,11.58002819
308,passive,implausible,The exterminator was filed by the complaint.,The exterminator filed the complaint.,AI,11.58002819
309,passive,plausible,The gun was loaded by the minuteman.,The minuteman loaded the gun.,AI,11.35131031
309,passive,implausible,The minuteman was loaded by the gun.,The minuteman loaded the gun.,AI,11.35131031
310,passive,plausible,The profit was calculated by the bookseller.,The bookseller calculated the profit.,AI,11.74549276
310,passive,implausible,The bookseller was calculated by the profit.,The bookseller calculated the profit.,AI,11.74549276
311,passive,plausible,The painting was inherited by the count.,The count inherited the painting.,AI,12.1254771
311,passive,implausible,The count was inherited by the painting.,The count inherited the painting.,AI,12.1254771
312,passive,plausible,The light bulb was changed by the groundskeeper.,The groundskeeper changed the light bulb.,AI,11.54280162
312,passive,implausible,The groundskeeper was changed by the light bulb.,The groundskeeper changed the light bulb.,AI,11.54280162
313,passive,plausible,The anthem was sung by the marcher.,The marcher sang the anthem.,AI,11.58265267
313,passive,implausible,The marcher was sung by the anthem.,The marcher sang the anthem.,AI,11.58265267
314,passive,plausible,The door was unlocked by the deckhand.,The deckhand unlocked the door.,AI,11.26400287
314,passive,implausible,The deckhand was unlocked by the door.,The deckhand unlocked the door.,AI,11.26400287
315,passive,plausible,The fund was established by the supremacist.,The supremacist established the fund.,AI,11.81714661
315,passive,implausible,The supremacist was established by the fund.,The supremacist established the fund.,AI,11.81714661
316,passive,plausible,The plant was watered by the house sitter.,The house sitter watered the plant.,AI,11.61126023
316,passive,implausible,The house sitter was watered by the plant.,The house sitter watered the plant.,AI,11.61126023
317,passive,plausible,The suit was wrinkled by the interviewee.,The interviewee wrinkled the suit.,AI,11.32794104
317,passive,implausible,The interviewee was wrinkled by the suit.,The interviewee wrinkled the suit.,AI,11.32794104
318,passive,plausible,The letter was sent by the cryptographer.,The cryptographer sent the letter.,AI,12.03023253
318,passive,implausible,The cryptographer was sent by the letter.,The cryptographer sent the letter.,AI,12.03023253
319,passive,plausible,The message was erased by the bellboy.,The bellboy erased the message.,AI,11.13905747
319,passive,implausible,The bellboy was erased by the message.,The bellboy erased the message.,AI,11.13905747
320,passive,plausible,The package was shipped by the forger.,The forger shipped the package.,AI,11.38097374
320,passive,implausible,The forger was shipped by the package.,The forger shipped the package.,AI,11.38097374
321,passive,plausible,The pipe was smoked by the crackhead.,The crackhead smoked the pipe.,AI,11.2033502
321,passive,implausible,The crackhead was smoked by the pipe.,The crackhead smoked the pipe.,AI,11.2033502
322,passive,plausible,The appointment was rescheduled by the manicurist.,The manicurist rescheduled the appointment.,AI,10.88893783
322,passive,implausible,The manicurist was rescheduled by the appointment.,The manicurist rescheduled the appointment.,AI,10.88893783
323,passive,plausible,The contract was burnt by the charlatan.,The charlatan burned the contract.,AI,11.96251581
323,passive,implausible,The charlatan was burnt by the contract.,The charlatan burned the contract.,AI,11.96251581
324,passive,plausible,The order was placed by the tanner.,The tanner placed the order.,AI,11.86372958
324,passive,implausible,The tanner was placed by the order.,The tanner placed the order.,AI,11.86372958
325,passive,plausible,The trip was canceled by the archaeologist.,The archaeologist canceled the trip.,AI,11.62314968
325,passive,implausible,The archaeologist was canceled by the trip.,The archaeologist canceled the trip.,AI,11.62314968
326,passive,plausible,The baguette was sliced by the Frenchman.,The Frenchman sliced the baguette.,AI,10.6662077
326,passive,implausible,The Frenchman was sliced by the baguette.,The Frenchman sliced the baguette.,AI,10.6662077
327,passive,plausible,The actress was cast by the producer.,The producer cast the actress.,AAN,11.99421201
327,passive,implausible,The producer was cast by the actress.,The producer cast the actress.,AAN,11.99421201
328,passive,plausible,The twins were punished by the babysitter.,The babysitter punished the twins.,AAN,10.95209224
328,passive,implausible,The babysitter were punished by the twins.,The babysitter punished the twins.,AAN,10.95209224
329,passive,plausible,The spirit was vanquished by the exorcist.,The exorcist vanquished the spirit.,AAN,11.63431148
329,passive,implausible,The exorcist was vanquished by the spirit.,The exorcist vanquished the spirit.,AAN,11.63431148
330,passive,plausible,The old man was shaved by the barber.,The barber shaved the old man.,AAN,11.9816162
330,passive,implausible,The barber was shaved by the old man.,The barber shaved the old man.,AAN,11.9816162
331,passive,plausible,The pop star was stalked by the paparazzi.,The paparazzi stalked the pop star.,AAN,11.41779523
331,passive,implausible,The paparazzi was stalked by the pop star.,The paparazzi stalked the pop star.,AAN,11.41779523
332,passive,plausible,The busboy was tipped by the brunette.,The brunette tipped the busboy.,AAN,10.71626871
332,passive,implausible,The brunette was tipped by the busboy.,The brunette tipped the busboy.,AAN,10.71626871
333,passive,plausible,The newborn was adopted by the roommate.,The roommate adopted the newborn.,AAN,11.24990718
333,passive,implausible,The roommate was adopted by the newborn.,The roommate adopted the newborn.,AAN,11.24990718
334,passive,plausible,The unicyclist was sketched by the cartoonist.,The cartoonist sketched the unicyclist.,AAN,10.57125544
334,passive,implausible,The cartoonist was sketched by the unicyclist.,The cartoonist sketched the unicyclist.,AAN,10.57125544
335,passive,plausible,The seaman was undercharged by the streetwalker.,The streetwalker undercharged the seaman.,AAN,10.79473258
335,passive,implausible,The streetwalker was undercharged by the seaman.,The streetwalker undercharged the seaman.,AAN,10.79473258
336,passive,plausible,The widower was treated by the urologist.,The urologist treated the widower.,AAN,11.1415464
336,passive,implausible,The urologist was treated by the widower.,The urologist treated the widower.,AAN,11.1415464
337,passive,plausible,The economist was acquitted by the jury.,The jury acquitted the economist.,AAN,11.63844543
337,passive,implausible,The jury was acquitted by the economist.,The jury acquitted the economist.,AAN,11.63844543
338,passive,plausible,The bully was dodged by the freshman.,The freshman dodged the bully.,AAN,11.02992449
338,passive,implausible,The freshman was dodged by the bully.,The freshman dodged the bully.,AAN,11.02992449
339,passive,plausible,The hedonist was reproached by the nun.,The nun reproached the hedonist.,AAN,11.46674181
339,passive,implausible,The nun was reproached by the hedonist.,The nun reproached the hedonist.,AAN,11.46674181
340,passive,plausible,The plagiarist was admonished by the librarian.,The librarian admonished the plagiarist.,AAN,11.00312619
340,passive,implausible,The librarian was admonished by the plagiarist.,The librarian admonished the plagiarist.,AAN,11.00312619
341,passive,plausible,The cadet was supervised by the colonel.,The colonel supervised the cadet.,AAN,11.16376844
341,passive,implausible,The colonel was supervised by the cadet.,The colonel supervised the cadet.,AAN,11.16376844
342,passive,plausible,The slave was hidden by the abolitionist.,The abolitionist hid the slave.,AAN,11.77481827
342,passive,implausible,The abolitionist was hidden by the slave.,The abolitionist hid the slave.,AAN,11.77481827
343,passive,plausible,The Olympian was weighed by the personal trainer.,The personal trainer weighed the Olympian.,AAN,10.82190544
343,passive,implausible,The personal trainer was weighed by the Olympian.,The personal trainer weighed the Olympian.,AAN,10.82190544
344,passive,plausible,The giraffe was fed by the zookeeper.,The zookeeper fed the giraffe.,AAN,11.31564116
344,passive,implausible,The zookeeper was fed by the giraffe.,The zookeeper fed the giraffe.,AAN,11.31564116
345,passive,plausible,The linebacker was relaxed by the masseuse.,The masseuse relaxed the linebacker.,AAN,10.75232934
345,passive,implausible,The masseuse was relaxed by the linebacker.,The masseuse relaxed the linebacker.,AAN,10.75232934
346,passive,plausible,The noble was obeyed by the page.,The page obeyed the noble.,AAN,11.97696906
346,passive,implausible,The page was obeyed by the noble.,The page obeyed the noble.,AAN,11.97696906
347,passive,plausible,The tour-guide was chased by the lion.,The lion chased the tour-guide.,AAN,11.67575723
347,passive,implausible,The lion was chased by the tour-guide.,The lion chased the tour-guide.,AAN,11.67575723
348,passive,plausible,The orphan was quieted by the caretaker.,The caretaker quieted the orphan.,AAN,11.09682568
348,passive,implausible,The caretaker was quieted by the orphan.,The caretaker quieted the orphan.,AAN,11.09682568
349,passive,plausible,The chiropractor was thanked by the tennis player.,The tennis player thanked the chiropractor.,AAN,10.64159323
349,passive,implausible,The tennis player was thanked by the chiropractor.,The tennis player thanked the chiropractor.,AAN,10.64159323
350,passive,plausible,The subject was recruited by the experimenter.,The experimenter recruited the subject.,AAN,11.50894745
350,passive,implausible,The experimenter was recruited by the subject.,The experimenter recruited the subject.,AAN,11.50894745
351,passive,plausible,The toddler was disciplined by the mother.,The mother disciplined the toddler.,AAN,11.41844153
351,passive,implausible,The mother was disciplined by the toddler.,The mother disciplined the toddler.,AAN,11.41844153
352,passive,plausible,The sociopath was expelled by the assistant principal.,The assistant principal expelled the sociopath.,AAN,11.16031965
352,passive,implausible,The assistant principal was expelled by the sociopath.,The assistant principal expelled the sociopath.,AAN,11.16031965
353,passive,plausible,The ghost was sensed by the channeler.,The channeler sensed the ghost.,AAN,11.10625434
353,passive,implausible,The channeler was sensed by the ghost.,The channeler sensed the ghost.,AAN,11.10625434
354,passive,plausible,The whistle-blower was ousted by the union.,The union ousted the whistle-blower.,AAN,10.29208762
354,passive,implausible,The union was ousted by the whistle-blower.,The union ousted the whistle-blower.,AAN,10.29208762
355,passive,plausible,The deer was trapped by the huntsman.,The huntsman trapped the deer.,AAN,11.29259902
355,passive,implausible,The huntsman was trapped by the deer.,The huntsman trapped the deer.,AAN,11.29259902
356,passive,plausible,The quack was discredited by the cardiologist.,The cardiologist discredited the quack.,AAN,11.01745083
356,passive,implausible,The cardiologist was discredited by the quack.,The cardiologist discredited the quack.,AAN,11.01745083
357,passive,plausible,The ruffian was released by the bailiff.,The bailiff released the ruffian.,AAN,11.44816305
357,passive,implausible,The bailiff was released by the ruffian.,The bailiff released the ruffian.,AAN,11.44816305
358,passive,plausible,The snorkeler was mauled by the shark.,The shark mauled the snorkeler.,AAN,10.82672386
358,passive,implausible,The shark was mauled by the snorkeler.,The shark mauled the snorkeler.,AAN,10.82672386
359,passive,plausible,The traitor was pardoned by the president.,The president pardoned the traitor.,AAN,11.61157355
359,passive,implausible,The president was pardoned by the traitor.,The president pardoned the traitor.,AAN,11.61157355
360,passive,plausible,The girl was spanked by the au pair.,The au pair spanked the girl.,AAN,12.02631389
360,passive,implausible,The au pair was spanked by the girl.,The au pair spanked the girl.,AAN,12.02631389
361,passive,plausible,The newsagent was promoted by the TV station head.,The TV station head promoted the newsagent.,AAN,11.46823517
361,passive,implausible,The TV station head was promoted by the newsagent.,The TV station head promoted the newsagent.,AAN,11.46823517
362,passive,plausible,The offender was handcuffed by the policewoman.,The policewoman handcuffed the offender.,AAN,10.97497275
362,passive,implausible,The policewoman was handcuffed by the offender.,The policewoman handcuffed the offender.,AAN,10.97497275
363,passive,plausible,The tribesman was studied by the anthropologist.,The anthropologist studied the tribesman.,AAN,11.25664887
363,passive,implausible,The anthropologist was studied by the tribesman.,The anthropologist studied the tribesman.,AAN,11.25664887
364,passive,plausible,The firefighter was rewarded by the police chief.,The police chief rewarded the firefighter.,AAN,11.23184551
364,passive,implausible,The police chief was rewarded by the firefighter.,The police chief rewarded the firefighter.,AAN,11.23184551
365,passive,plausible,The beneficiary was kidnapped by the miscreant.,The miscreant kidnapped the beneficiary.,AAN,11.03373276
365,passive,implausible,The miscreant was kidnapped by the beneficiary.,The miscreant kidnapped the beneficiary.,AAN,11.03373276
366,passive,plausible,The abused woman was comforted by the social worker.,The social worker comforted the abused woman.,AAN,11.42082181
366,passive,implausible,The social worker was comforted by the abused woman.,The social worker comforted the abused woman.,AAN,11.42082181
367,passive,plausible,The lab assistant was overwhelmed by the neuroscientist.,The neuroscientist overwhelmed the lab assistant.,AAN,11.19865546
367,passive,implausible,The neuroscientist was overwhelmed by the lab assistant.,The neuroscientist overwhelmed the lab assistant.,AAN,11.19865546
368,passive,plausible,The gunsmith was terrorized by the warmonger.,The warmonger terrorized the gunsmith.,AAN,10.70569082
368,passive,implausible,The warmonger was terrorized by the gunsmith.,The warmonger terrorized the gunsmith.,AAN,10.70569082
369,passive,plausible,The violinist was tolerated by the conductor.,The conductor tolerated the violinist.,AAR,11.34331617
369,passive,plausible,The conductor was tolerated by the violinist.,The conductor tolerated the violinist.,AAR,11.34331617
370,passive,plausible,The hitter was signaled by the pitcher.,The pitcher signaled the hitter.,AAR,11.0164807
370,passive,plausible,The pitcher was signaled by the hitter.,The pitcher signaled the hitter.,AAR,11.0164807
371,passive,plausible,The cheerleader was kissed by the quarterback.,The quarterback kissed the cheerleader.,AAR,10.76732625
371,passive,plausible,The quarterback was kissed by the cheerleader.,The quarterback kissed the cheerleader.,AAR,10.76732625
372,passive,plausible,The bear was startled by the camper.,The camper startled the bear.,AAR,11.52738589
372,passive,plausible,The camper was startled by the bear.,The camper startled the bear.,AAR,11.52738589
373,passive,plausible,The lieutenant was accompanied by the admiral.,The admiral accompanied the lieutenant.,AAR,11.38676324
373,passive,plausible,The admiral was accompanied by the lieutenant.,The admiral accompanied the lieutenant.,AAR,11.38676324
374,passive,plausible,The soprano was loved by the tenor.,The tenor loved the soprano.,AAR,11.55626155
374,passive,plausible,The tenor was loved by the soprano.,The tenor loved the soprano.,AAR,11.55626155
375,passive,plausible,The barrister was paid by the photographer.,The photographer paid the barrister.,AAR,11.46591164
375,passive,plausible,The photographer was paid by the barrister.,The photographer paid the barrister.,AAR,11.46591164
376,passive,plausible,The blonde was intrigued by the bachelor.,The bachelor intrigued the blonde.,AAR,11.15310522
376,passive,plausible,The bachelor was intrigued by the blonde.,The bachelor intrigued the blonde.,AAR,11.15310522
377,passive,plausible,The socialite was pursued by the football player.,The football player pursued the socialite.,AAR,10.92243428
377,passive,plausible,The football player was pursued by the socialite.,The football player pursued the socialite.,AAR,10.92243428
378,passive,plausible,The geneticist was consulted by the neurologist.,The neurologist consulted the geneticist.,AAR,10.93020431
378,passive,plausible,The neurologist was consulted by the geneticist.,The neurologist consulted the geneticist.,AAR,10.93020431
379,passive,plausible,The model was humiliated by the fashionista.,The fashionista humiliated the model.,AAR,11.02633258
379,passive,plausible,The fashionista was humiliated by the model.,The fashionista humiliated the model.,AAR,11.02633258
380,passive,plausible,The meatpacker was accused by the butcher.,The butcher accused the meatpacker.,AAR,11.29009374
380,passive,plausible,The butcher was accused by the meatpacker.,The butcher accused the meatpacker.,AAR,11.29009374
381,passive,plausible,The aunt was embarrassed by the niece.,The niece embarrassed the aunt.,AAR,11.33093464
381,passive,plausible,The niece was embarrassed by the aunt.,The niece embarrassed the aunt.,AAR,11.33093464
382,passive,plausible,The mercenary was hailed by the warlord.,The warlord hailed the mercenary.,AAR,10.71010847
382,passive,plausible,The warlord was hailed by the mercenary.,The warlord hailed the mercenary.,AAR,10.71010847
383,passive,plausible,The newcomer was snubbed by the neighbor.,The neighbor snubbed the newcomer.,AAR,11.34913653
383,passive,plausible,The neighbor was snubbed by the newcomer.,The neighbor snubbed the newcomer.,AAR,11.34913653
384,passive,plausible,The proofreader was overheard by the editor.,The editor overheard the proofreader.,AAR,11.29259663
384,passive,plausible,The editor was overheard by the proofreader.,The editor overheard the proofreader.,AAR,11.29259663
385,passive,plausible,The capitalist was offended by the communist.,The communist offended the capitalist.,AAR,11.4521977
385,passive,plausible,The communist was offended by the capitalist.,The communist offended the capitalist.,AAR,11.4521977
386,passive,plausible,The sculptor was misinformed by the curator.,The curator misinformed the sculptor.,AAR,11.15897267
386,passive,plausible,The curator was misinformed by the sculptor.,The curator misinformed the sculptor.,AAR,11.15897267
387,passive,plausible,The miller was mentioned by the baker.,The baker mentioned the miller.,AAR,11.67679335
387,passive,plausible,The baker was mentioned by the miller.,The baker mentioned the miller.,AAR,11.67679335
388,passive,plausible,The statistician was shamed by the pollster.,The pollster shamed the statistician.,AAR,10.78607614
388,passive,plausible,The pollster was shamed by the statistician.,The pollster shamed the statistician.,AAR,10.78607614
389,passive,plausible,The actor was emailed by the screenwriter.,The screenwriter emailed the actor.,AAR,10.8617076
389,passive,plausible,The screenwriter was emailed by the actor.,The screenwriter emailed the actor.,AAR,10.8617076
390,passive,plausible,The pathologist was contradicted by the dermatologist.,The dermatologist contradicted the pathologist.,AAR,10.83391611
390,passive,plausible,The dermatologist was contradicted by the pathologist.,The dermatologist contradicted the pathologist.,AAR,10.83391611
391,passive,plausible,The fieldworker was misled by the sharecropper.,The sharecropper misled the fieldworker.,AAR,10.7282544
391,passive,plausible,The sharecropper was misled by the fieldworker.,The sharecropper misled the fieldworker.,AAR,10.7282544
392,passive,plausible,The veteran was saluted by the patriot.,The patriot saluted the veteran.,AAR,11.48599545
392,passive,plausible,The patriot was saluted by the veteran.,The patriot saluted the veteran.,AAR,11.48599545
393,passive,plausible,The milkman was visited by the welder.,The welder visited the milkman.,AAR,10.88439713
393,passive,plausible,The welder was visited by the milkman.,The welder visited the milkman.,AAR,10.88439713
394,passive,plausible,The parent was mortified by the teenager.,The teenager mortified the parent.,AAR,11.5242192
394,passive,plausible,The teenager was mortified by the parent.,The teenager mortified the parent.,AAR,11.5242192
395,passive,plausible,The swimmer was impressed by the surfer.,The surfer impressed the swimmer.,AAR,11.06937155
395,passive,plausible,The surfer was impressed by the swimmer.,The surfer impressed the swimmer.,AAR,11.06937155
396,passive,plausible,The landlady was antagonized by the miser.,The miser antagonized the landlady.,AAR,11.41311257
396,passive,plausible,The miser was antagonized by the landlady.,The miser antagonized the landlady.,AAR,11.41311257
397,passive,plausible,The loyalist was upset by the infantryman.,The infantryman upset the loyalist.,AAR,11.02930276
397,passive,plausible,The infantryman was upset by the loyalist.,The infantryman upset the loyalist.,AAR,11.02930276
398,passive,plausible,The grocer was invoiced by the florist.,The florist invoiced the grocer.,AAR,11.10580644
398,passive,plausible,The florist was invoiced by the grocer.,The florist invoiced the grocer.,AAR,11.10580644
399,passive,plausible,The retailer was harassed by the claims adjuster.,The claims adjuster harassed the retailer.,AAR,10.76638792
399,passive,plausible,The claims adjuster was harassed by the retailer.,The claims adjuster harassed the retailer.,AAR,10.76638792
400,passive,plausible,The girlfriend was punched by the ex-wife.,The ex-wife punched the girlfriend.,AAR,9.801039955
400,passive,plausible,The ex-wife was punched by the girlfriend.,The ex-wife punched the girlfriend.,AAR,9.801039955
401,passive,plausible,The goalkeeper was blamed by the defender.,The defender blamed the goalkeeper.,AAR,11.05111024
401,passive,plausible,The defender was blamed by the goalkeeper.,The defender blamed the goalkeeper.,AAR,11.05111024
402,passive,plausible,The excavator was reassured by the geologist.,The geologist reassured the excavator.,AAR,10.83129343
402,passive,plausible,The geologist was reassured by the excavator.,The geologist reassured the excavator.,AAR,10.83129343
403,passive,plausible,The mathematician was nagged by the physicist.,The physicist nagged the mathematician.,AAR,10.90698421
403,passive,plausible,The physicist was nagged by the mathematician.,The physicist nagged the mathematician.,AAR,10.90698421
404,passive,plausible,The embezzler was watched by the employee.,The employee watched the embezzler.,AAR,11.3091158
404,passive,plausible,The employee was watched by the embezzler.,The employee watched the embezzler.,AAR,11.3091158
405,passive,plausible,The volunteer was distrusted by the programmer.,The programmer distrusted the volunteer.,AAR,11.08164052
405,passive,plausible,The programmer was distrusted by the volunteer.,The programmer distrusted the volunteer.,AAR,11.08164052
406,passive,plausible,The chairman was befriended by the interviewer.,The interviewer befriended the chairman.,AAR,11.09241809
406,passive,plausible,The interviewer was befriended by the chairman.,The interviewer befriended the chairman.,AAR,11.09241809
407,passive,plausible,The movie star was favored by the cinematographer.,The cinematographer favored the movie star.,AAR,11.33965918
407,passive,plausible,The cinematographer was favored by the movie star.,The cinematographer favored the movie star.,AAR,11.33965918
408,passive,plausible,The skater was aggravated by the hockey player.,The hockey player aggravated the skater.,AAR,10.6397861
408,passive,plausible,The hockey player was aggravated by the skater.,The hockey player aggravated the skater.,AAR,10.6397861
409,passive,plausible,The crane operator was outraged by the bricklayer.,The bricklayer outraged the crane operator.,AAR,10.84758439
409,passive,plausible,The bricklayer was outraged by the crane operator.,The bricklayer outraged the crane operator.,AAR,10.84758439
410,passive,plausible,The nominee was approved by the candidate.,The candidate approved the nominee.,AAR,11.65735955
410,passive,plausible,The candidate was approved by the nominee.,The candidate approved the nominee.,AAR,11.65735955
411,passive,plausible,The biologist was disparaged by the entomologist.,The entomologist disparaged the biologist.,AAR,10.85834034
411,passive,plausible,The entomologist was disparaged by the biologist.,The entomologist disparaged the biologist.,AAR,10.85834034
412,passive,plausible,The medic was hounded by the hypochondriac.,The hypochondriac hounded the medic.,AAR,11.56714934
412,passive,plausible,The hypochondriac was hounded by the medic.,The hypochondriac hounded the medic.,AAR,11.56714934
413,passive,plausible,The pharmacist was suspected by the chemist.,The chemist suspected the pharmacist.,AAR,11.27640679
413,passive,plausible,The chemist was suspected by the pharmacist.,The chemist suspected the pharmacist.,AAR,11.27640679
414,passive,plausible,The citizen was begged by the litigator.,The litigator begged the citizen.,AAR,11.34548846
414,passive,plausible,The litigator was begged by the citizen.,The litigator begged the citizen.,AAR,11.34548846
415,passive,plausible,The foreman was devastated by the plumber.,The plumber devastated the foreman.,AAR,11.00379267
415,passive,plausible,The plumber was devastated by the foreman.,The plumber devastated the foreman.,AAR,11.00379267
416,passive,plausible,The sniper was identified by the sergeant.,The sergeant identified the sniper.,AAR,11.3820124
416,passive,plausible,The sergeant was identified by the sniper.,The sergeant identified the sniper.,AAR,11.3820124
